nm;Pute2_2, (M, id=5248);Rind1_1, (M, id=5249);Rind1_2, (M, id=5250);Rind1_3 Schwarte, (M, id=5251);Rind1_4, (M, id=5252);Rind1_5 Sehne, (M, id=5253);Rind2 Fett, (M, id=5254);Rind Rumpsteak, (M, id=5255);Rind Rumpsteak Schwarte, (M, id=5256);Schweinenacken1 Fett, (M, id=5257);Schweinenacken1 Fett, (M, id=5258);Schweinenacken1 Knochen, (M, id=5259);Schweinenachen1 Knochenmark, (M, id=5260);Schweineruecken1, (M, id=5261);Schweineruecken1 Sehne, (M, id=5262);Schweineruecken2, (M, id=5263);Schweineruecken3, (M, id=5264);Schweineruecken4, (M, id=5265);Kotelett Fett, (M, id=5952);Kotelett Fleisch dunkel, (M, id=5953);Kotelett Fleisch hell, (M, id=5954);Kotelett Knochen, (M, id=5955);Kotelett Knochenmark, (M, id=5956);Rumpsteak Fleisch dunkel, (M, id=5957);Rumpsteak Fett, (M, id=5958);Rumpsteak Fleisch hell, (M, id=5959);Jungbulle Hüftsteak 1, (M, id=5966);Jungbulle Hüftsteak 2, (M, id=5967);Rinderhüfte 1, (M, id=5971);Rinderhüfte 2, (M, id=5972);Rinderhüfte 3 Fett, (M, id=5973);Rinderhüfte 4, (M, id=5974);Rinderkeule 1 Fett, (M, id=5975);Rinderkeule 2, (M, id=5976);Rinderkeule 3, (M, id=5977);Schwein 1, (M, id=5978);Schwein 2, (M, id=5979);Schweinenacken 1-1 Fett, (M, id=5980);Schweinenacken 1-2, (M, id=5981);Schweinerücken 1-1, (M, id=5982);Schweinerücken 1-2, (M, id=5983);Schwein Fett, (M, id=5984);Weisswurst, (M, id=5986);Schweinefleisch Fett 1, (M, id=5987);Schweinefleisch Fett 2, (M, id=5988);Schweinefleisch Fett 3, (M, id=5989);Schweinefleisch Fett Blut, (M, id=5990);Schweinefleisch Fleisch 1, (M, id=5991);Schweinefleisch Fleisch 2, (M, id=5992);Schweinefleisch Fleisch 3, (M, id=5993);Schweinefleisch Fleisch 4, (M, id=5994);Schweinefleisch Knochen 1, (M, id=5995);Schweinefleisch Knochen 2, (M, id=5996);Schweinefleisch Knochen 3, (M, id=5997);Schweinefleisch Knochen Rippe, (M, id=5998);Schweinefleisch Knochenmark 1, (M, id=5999);Schweinefleisch Knorpel, (M, id=6000);Schweinefleisch Schwarte, (M, id=6001);Schweinefleisch Sehne 1, (M, id=6002);Huhn1_1, (M, id=5237);Huhn1_2, (M, id=5238);Huhn2 Fett, (M, id=5239);Huhn2, (M, id=5240);Jungbulle1_1, (M, id=5241);Jungbulle1_2, (M, id=5242);Jungbulle2, (M, id=5243);Jungbulle3, (M, id=5244);Pute1_1, (M, id=5245);Pute1_2, (M, id=5246);Pute2_1, (M, id=5247)
400;2.9164995176;1.0910197539;1.2244923512;13.6035668606;0.9440770268;8.1785024987;3.0449118627;0.7262131371;9.5714749121;3.8242571351;13.1887764976;3.4114701489;2.4128668381;3.9205827327;26.4760491035;9.249657793;4.7737781471;8.8644212564;15.5226518475;3.2108510664;6.0284682193;13.9085191859;3.5017744867;2.4239444227;5.6685892802;3.5810001264;3.6336062504;0.7321644139;2.4051275124;1.45511325;4.5145853605;2.7015149435;6.1387074095;2.1772916014;2.3907484933;3.2298570926;12.3799858151;24.908508953;3.1547617302;11.3183877766;5.0183142352;11.9894514107;24.1978731141;30.5384780509;2.7076092527;4.5949502177;2.488023284;3.4640116749;1.4977982031;0.4083543758;3.3797963654;4.0800119883;2.1696299561;2.8866072342;3.9318847145;5.6177489174;2.9935356302;25.6697112453;25.0676324116;11.2447339492;8.7888589948;11.8229663244;6.5405459568;0.708821269;0.8451370579;0.9080780048;1.856451793;4.8929606176;5.2869213841;6.1577825607
410;1.6342273483;0.7449298239;0.67687097;10.1461839761;0.5968415356;5.9075299148;2.0535462614;0.4668300173;7.3820559654;3.1502378616;10.2191934989;3.0479693376;2.2394213117;2.4831409862;23.4278097488;7.1663773849;3.1285470711;6.2842945283;12.1160567976;2.3500769299;4.2924403091;10.3299347503;3.2566375713;1.9867038067;4.7818541634;2.4433730816;2.5670598584;0.5757994726;2.0462769548;1.0368316684;2.3786249715;2.1562639742;5.1865253938;1.9037920913;2.0935331278;2.0881196921;9.7826627291;20.0324217886;1.9267246381;9.8525451029;3.3352527304;8.9761318307;24.7113254379;27.6745352995;2.3340345847;3.1216306574;2.2473005499;2.3748381736;1.1919509793;0.3141224193;2.5369887121;3.8708638771;1.8178883569;2.5435144496;3.6426757263;5.3933306082;2.6036956772;21.8546008215;19.5775273794;9.7651115758;7.6341218783;10.008651135;5.5439622755;0.5269448804;0.4185485828;0.7265350324;1.5722668321;4.0414017148;4.0966251252;5.1004536139
420;1.161699323;1.1296402451;0.9602657294;10.6497982954;0.857685219;7.4946682272;2.5828108425;0.7636319204;8.1405869857;3.0819780116;12.4593399659;3.7001886473;2.2886849939;2.5544037764;24.3107000186;7.3322432302;2.4909304237;5.506278103;13.4887991387;2.3573047306;3.9946958123;11.3316920402;3.6021674764;1.9911292687;4.8726299273;2.3182868246;2.6538269477;0.6069273231;2.1221274576;0.9495553695;2.4291927967;2.1131373246;6.1224904883;1.8945060701;1.9995253634;2.1789570886;10.135863384;19.8824766353;1.8940656415;11.8856607409;3.6219865562;11.0053137645;25.5919848138;28.2228552645;2.8371152457;4.7096504954;2.6196870527;2.2947326203;1.6391126116;0.4418886582;2.9758456625;3.8905474673;2.1794236788;2.846603566;3.7746192343;5.361630663;3.2936579809;23.0359212441;19.7059275001;10.5468400336;7.4064388582;10.6780439504;5.1438368068;0.8631311602;0.8272437281;0.9582567122;1.5783969718;4.4086326282;3.5974349144;5.2643298652
430;1.8621769751;1.7578685909;1.1517724767;15.7270334336;1.0242513107;13.8944829429;5.3979178758;1.1104021244;12.4201685007;3.6212170304;19.1198263951;5.0166861904;2.8614034009;4.6338430569;29.5194910045;10.1765196536;3.4326259781;7.0371938011;19.5910125949;3.6027207123;5.7268509473;17.8095423629;4.3139630541;2.4631720851;6.786684647;3.5028214869;4.945060103;0.9942182062;2.669767303;1.5064881795;5.6399006762;3.1130063925;10.4624140241;2.2621890874;2.3943882808;3.9807910809;13.7190807225;25.1582920082;3.5628739634;16.0733642536;5.9829293077;17.4938674533;28.8380474612;32.4490426654;4.9241687699;9.8488261776;2.6995354128;3.6635725957;2.277523489;0.5795092936;4.6310891675;4.5691641223;3.0454158953;3.7584115689;4.4103503347;6.105870304;5.1092827992;28.9150188716;25.4876316492;12.7725855884;8.1279447368;13.4641940067;5.7397041515;1.6757255432;1.2065975639;1.4807218009;2.0049729671;5.9337289206;4.532048221;6.5539862054
440;4.7893707039;3.1470997408;2.2267838988;22.3265499952;2.0510690924;21.793065885;9.8528837465;2.1011592516;18.5731469547;4.4286882255;26.8919249537;6.7398859094;3.6897919867;7.3264772962;34.5322730123;13.6074977003;5.2582514493;10.2678137315;26.4556801632;5.3006646693;8.13219209;26.5438375778;4.8035039969;3.4353219039;10.4787349418;4.9403481126;9.3728592064;2.3671536916;3.6941858012;2.9460252799;11.9352955722;4.3765344104;16.4451559641;3.0476182112;3.2172870031;6.1106392455;17.6620176644;33.0238013777;6.0102857046;19.5087670083;9.492280611;25.4469272713;32.9421376585;37.2475780783;7.5620541954;16.8755703769;2.9968385726;5.4660436937;3.3141517953;1.1895593931;6.794649364;5.3340347296;4.5730703619;4.6671498221;4.8594221677;7.5338605547;7.4203334222;35.8805922578;32.2645977303;14.4516665517;9.4099312358;17.3602030148;6.8694213735;3.2828545963;2.0480079485;2.7414935634;3.0700299237;7.6322321484;6.1110452156;8.5221635546
450;10.0241908515;4.4762054152;3.7635702278;27.8864981602;3.5603388309;27.6213949498;13.797149485;3.6218209271;23.335826687;6.2163918902;32.3461668664;8.9430986476;4.5351208858;9.894135411;37.1301300655;16.0889627413;8.8710080774;14.5139797023;30.5688591587;7.2471404612;10.4673838072;32.9551253398;5.1510105178;4.352606587;14.6333426982;6.4829547558;14.6565625779;4.2374239802;5.2508919825;4.8707809997;18.7454662926;5.8520141812;21.8065414502;4.143722013;4.5142442975;8.1289844847;19.8331291688;39.8162953136;9.1522043444;21.2955302401;12.1198933447;30.9813802418;36.5762755607;40.5346447112;10.3914155251;23.092931073;3.5082813653;7.6972776042;4.5423531094;2.3702548839;8.897286735;5.7253973775;6.592928592;5.5112800827;5.2038567778;9.2956014221;10.0134660558;40.7829969292;36.2491055755;15.3427172031;10.5469362791;21.4260631923;8.6284537314;4.9348866222;3.4877252148;4.2862524108;4.4545076813;9.2196022464;8.651856143;10.3266358179
460;13.86932166;5.3139184082;5.1043844031;31.2512170773;4.7591641185;30.4938777017;16.4846806632;5.0337735644;26.1753783497;8.6096638912;35.4288398433;10.7654495999;5.422646614;11.7541715987;38.0635124866;17.6073983052;12.303054554;17.5525999791;32.3806270448;8.5627343455;12.3115579701;36.3956700556;5.5709635176;5.0527984142;17.968461242;7.8688921182;19.2141028735;5.8861838028;7.5964679815;6.9499243416;24.3303883727;7.343446891;24.7938708723;5.0299382668;6.3937951214;9.2028290703;20.8094341235;43.5057006524;11.5619177174;22.1029520775;13.640045107;33.7751278439;39.2355960914;42.1511098468;12.7354071461;27.1292829583;3.7644129575;9.6115318625;5.4727082456;3.8499529312;10.323541569;6.2888043556;8.8174169452;6.4426727553;5.2867639158;10.9038851914;11.8211243402;43.19965389;37.9408403589;15.6681463361;11.3817898783;23.8719151052;9.8366288843;6.0447702782;4.6246779349;5.6895053679;5.7332574479;10.0181179215;10.4013946947;11.3976680015
470;15.0847893156;5.8287427322;6.2418554372;32.8800516656;5.8814911347;31.7725065691;17.9164747185;6.2380016753;27.9716115921;10.2097300692;36.9351363361;12.2639228466;6.2429161697;12.6312876376;38.384693358;18.3685345419;13.7533803983;18.4226540514;33.1171437672;9.3937711113;13.1648763943;38.0835880056;5.8392142086;5.7182882645;20.1240289479;8.8323669104;22.5319383282;7.1578599275;9.3712783935;8.6518323473;28.371342012;8.4865650672;26.1322625174;5.8204474101;8.0336579366;9.7494551749;21.0102391668;44.8949443357;12.9884159618;22.3789057148;14.3403525021;35.0132168139;40.8805414465;42.7570188517;14.2728289689;29.5195140462;3.8986880816;10.7174384914;6.269767985;5.1199929542;11.2179500065;6.7378006692;10.530059056;7.0659280939;5.3419911497;12.3730131507;13.1284229024;44.0492110785;38.5412871194;15.5935323087;11.4926349718;24.8483071002;10.1475471272;6.6436980128;5.7410582518;6.8883052479;6.7981249293;10.2941262481;10.9753524921;11.71856778
480;15.1670709728;6.0773723742;7.1046925261;33.7088916014;6.8305020791;32.0290525827;18.7473104882;7.0982366677;29.1396589032;10.7488920606;38.1669573109;13.3217420937;6.9830278993;13.0516073131;38.5405985485;18.845056601;13.8680516345;18.4632787775;33.5293746025;9.7017822145;13.4019886225;39.3345832571;6.0042450216;6.1423084516;21.5805279457;9.6740461636;25.172581517;7.8968962837;10.0945929968;10.0312761688;31.5707318619;9.262353015;26.7601110547;6.4131842809;9.0007761852;10.1097679082;20.8989889612;45.7078761632;13.9265649584;22.5409015456;14.7923984387;35.7358450577;42.1562847584;42.9637065958;15.2306937523;31.1310038088;4.0383168257;11.0946238703;6.7669363547;6.1532003844;11.6339137044;7.0366953048;11.7232889757;7.6167854534;5.3734994081;13.9161435938;14.1785276823;44.3197580691;38.6955507223;15.3891924335;11.3719178756;25.0669930439;10.068636389;6.6865149915;6.5714726566;7.852678213;7.5443397285;10.3373976966;10.9020356643;11.6829831794
490;14.9635153146;5.9172845832;7.6999367559;34.021410475;7.413929887;31.5358705494;19.1105373045;7.6369533441;29.7459415271;10.7802885747;39.0941873047;14.0043511201;7.6068801912;13.0979900173;38.6203073906;18.9655110685;13.5897232127;18.1450966634;33.6321800591;9.7490268667;13.3131225103;40.0164912832;6.1028430191;6.2560960012;22.2702653032;10.1293534863;26.4631985207;8.2418608831;9.8752246715;10.9324201001;33.5721892152;9.6212661137;26.4192800071;6.8135485826;9.3233497478;10.1931957261;20.535343146;46.0681342073;14.5184845072;22.5641945787;14.9575925654;35.8810645924;43.0956269077;43.1187304656;15.8845244595;31.9271423335;4.0958218949;11.018905942;7.0368747167;6.8352647807;11.8637904346;7.194649356;12.4998318589;8.0916428833;5.3795739501;15.0298248649;14.8505373897;44.5293983326;38.6049830524;15.2025516808;11.2195337849;25.2060648831;9.9239367802;6.3888158745;7.0153148889;8.4540315473;8.0401662728;10.3556745543;10.7427297244;11.5754119012
