nm;Bauholz 1-1, (M, id=6147);Bauholz 1-2, (M, id=6148);Bauholz 2-1, (M, id=6149);Bauholz 2-2, (M, id=6150);Kiefer, (M, id=5938);Kleines Kantholz Rückseite, (M, id=5933);Bauholz 2-1, (M, id=6163);Bauholz 2-2, (M, id=6164);Kleines Kantholz Schnittkante, (M, id=5934);Hartholzkeil, (M, id=5935);Holzlatte, (M, id=5918);Holzlatte Astloch, (M, id=5919);Holzlatte, (M, id=5920);Bauholz 1-1, (M, id=6177);Bauholz 1-2, (M, id=6178);Holz1_2 Stirnseite, (M, id=5286);Holz1_3 Astloch, (M, id=5287);Holz2_1, (M, id=5288);Holz2_2 Stirnseite, (M, id=5289);Holz2_3 Astloch, (M, id=5290);Holz3_1, (M, id=5291);Holz3_2 Stirnseite, (M, id=5292);Holz3_3 Astloch, (M, id=5293);Holz4_1, (M, id=5294);Holz4_2 Stirnseite, (M, id=5295);Holz4_3 Seite, (M, id=5296);Holz5_1, (M, id=5297);Holz5_2 Stirnseite, (M, id=5298);Holz6_1, (M, id=5299);Mehrschichtverleimte Platte Beschichtung Oberseite, (M, id=5940);Holz6_3 Astloch, (M, id=5301);Kantholz, (M, id=5942);Kantholz, (M, id=5943);Holzträger, (M, id=5944);Kiefer, (M, id=5939);Verleimtes Brett Leim, (M, id=5946);Verleimtes Brett, (M, id=5947);Mehrschichtholz, (M, id=5948);Mehrschichtholz, (M, id=5949);Brett, (M, id=5950);Mehrschichtverleimte Platte Seite unbeschichtet, (M, id=5941);Holz6_2 Stirnseite, (M, id=5300);Bauholz 1-1, (M, id=6089);Bauholz 1-2, (M, id=6090);Bauholz 2-1, (M, id=6091);Bauholz 2-2, (M, id=6092);Bauholz 1-1, (M, id=6102);Bauholz 1-2, (M, id=6103);Bauholz 2-1, (M, id=6104);Bauholz 2-2, (M, id=6105);Hartholzkeil, (M, id=5936);Bauholz 1-1, (M, id=6115);Bauholz 1-2, (M, id=6116);Bauholz 2-1, (M, id=6117);Bauholz 2-2, (M, id=6118);Schalholz rot betonverschmutzt, (M, id=5945);Bauholz 1-1, (M, id=6131);Bauholz 1-2, (M, id=6132);Bauholz 2-1, (M, id=6133);Bauholz 2-2, (M, id=6134);Brett, (M, id=5951);Hartholzkeil, (M, id=5937)
400;4.4402685748;2.1845938585;7.8139977515;1.371314728;5.1708442888;2.0881348819;7.8000152388;2.3705782367;4.1702378412;1.9444389506;5.9099704458;1.0588227195;1.8951915211;3.9568831792;2.0174651711;2.5411012792;2.5619840569;14.6671806701;15.5267108388;4.8621080301;6.2965521327;5.370833313;3.6852884344;16.0921067074;17.6091086232;8.492376277;12.4376062976;4.7938975884;17.2105892711;1.0657240979;7.3851601737;2.2962906821;9.2448504655;9.8753424508;9.8577349458;29.8173744198;9.5154179774;4.1368263254;7.7152779464;7.8854650523;7.3339831203;17.7121064701;3.7459779127;1.676700693;4.5724556983;1.5988059069;4.2619377851;2.1718085268;5.6062015691;1.7860073879;1.3676904898;4.8816506448;2.074741076;7.317051208;1.5870981095;30.8727201669;3.6468376511;1.5663647586;11.036990359;4.5446185154;18.3849911542;10.2394564682
410;4.9007671123;2.3084823854;9.4632597393;1.6941609826;6.3520452696;2.8912777691;9.0705389628;2.5871558987;5.9581350095;1.8142525979;6.4348959016;1.3134084207;2.0579891247;4.4210513348;2.0118160224;2.5975348489;2.7682018323;19.7680985083;20.4403763302;5.3913148525;7.1961846851;5.9948589819;3.9592164577;20.5007722862;23.8738079046;10.3674801588;13.9975924301;5.3316037985;21.8238072421;1.102678143;8.8388205574;2.5532990175;11.2347023019;10.5343811746;12.2895443759;31.8678001666;11.107791976;4.8109166954;8.7085085735;8.3222445639;9.3136026223;23.7820407382;3.9139645196;2.095716071;5.2940711098;1.767571794;4.6964850462;2.0844660179;7.1559350355;2.1194659399;1.1815411355;5.1681143495;1.9352277453;9.0290361904;1.8552092826;32.2788378493;4.2042995924;1.6432350371;12.8582341865;5.2444630397;19.400484067;10.6861295666
420;5.245843456;2.1786734752;11.1042679613;2.0539129875;7.350035324;3.8398711721;10.2823213471;2.9573877809;7.5577128586;2.0071659736;6.9798180825;1.5377422606;2.6488605751;4.6713702596;2.0684231236;2.5532489057;2.6682497346;24.6874674936;25.2316193443;5.6374934367;7.8745353865;6.1517330822;4.0489885442;24.5382023054;30.707347777;12.5680792796;14.9551175574;5.7867593284;26.0747845184;1.3573324202;10.687267481;3.1437258564;13.4915787767;11.3123815016;14.5337102843;33.8813034654;12.8814370595;5.7689585248;9.8642833304;8.9271936088;12.1585207793;28.8617641211;4.160913434;1.9818077766;5.9444630257;2.046298539;4.7551393456;2.2363316402;8.838296603;2.388817412;1.4865012087;5.390046884;1.9634714978;10.7360057514;2.1095685296;33.6282877063;4.0982959439;1.6719402029;14.1999781318;5.709162642;20.5174637031;11.0374423085
430;5.5108526829;2.3583876468;12.7500374275;2.3139954451;8.3742349109;4.8081079624;11.453432168;3.5130941787;9.2129923837;2.1480087005;7.303604874;1.4600685468;3.3710467783;5.022751423;2.2077391272;2.6640762889;2.6388629413;28.4478664451;28.969765165;5.899999882;8.9725849104;6.2657570989;4.5082297761;27.8964536887;35.9424501845;14.3832719157;16.1137834062;6.4021774838;29.6041443261;1.3113403418;12.4402338523;3.9856401192;15.4853340922;11.988604703;16.4634452511;36.4334193936;14.2192871945;7.1351338121;11.4257292221;9.8595199253;14.5418276521;32.6709181952;4.3821991084;2.1166337706;6.3995823306;2.4461407032;5.033562505;2.4215027247;10.6274099656;2.8212000396;1.4068987795;5.6950853916;2.0273909194;12.3349735144;2.523745087;34.8030242229;4.6185940836;1.7620303612;15.4990221742;6.0149498452;21.5543463917;11.4981533629
440;5.7661530661;2.3757847958;14.1676818329;2.8507100982;9.4965504063;5.6033375474;12.6661906106;3.8840201178;10.6345775912;2.2692704267;8.1208948906;1.5435740956;3.9264888851;5.1441572446;2.3583468444;2.7911384076;2.8644244963;31.6837968271;31.8802481043;6.1166521549;10.0895853767;6.7516760151;4.5957386681;30.3112325948;39.3797033242;15.8174261146;17.1269054085;7.2209534212;32.9706979749;1.2306177589;13.9357692203;4.6651494108;17.5571049385;12.741148272;17.881985413;39.5963726038;15.5213700426;8.6788659404;12.8708424723;10.608443783;16.7513160828;35.3111639188;4.6716314308;2.2852718151;7.1637449942;2.9017561889;5.4385964331;2.6355183385;11.9373314546;3.3270551113;1.3858565116;5.9229801747;2.0454737244;13.7570640576;2.8317230853;36.2026505759;4.8456655096;1.9191071201;16.6635953774;6.7030725307;22.696258986;11.8817444885
450;6.1195238235;2.5832790951;15.2740484176;3.1523223982;10.6414579345;6.4718393343;13.8189459345;4.0996756567;12.1049334706;2.3926035063;8.7512068644;1.7890956019;4.4139438338;5.4767253211;2.6346139762;2.9537234943;3.058546369;34.1278447473;34.1723525168;6.4099382392;11.2702177774;7.1781934977;4.76012317;32.5060453644;41.9789029569;17.3405342199;18.3500442589;8.0626465612;35.9949260494;1.2587212394;15.201065006;5.4767322645;19.5530060637;13.3931841413;19.1848170072;42.234999832;17.0326063334;10.2165458144;14.4944242637;11.6573552558;18.680061259;37.498796788;4.9809774162;2.3951770753;7.8177721201;3.4097279938;5.7686834668;2.8460344368;13.3743226051;3.7921190233;1.4858380453;6.4270380426;2.1168486535;14.859949591;3.2462409108;37.39718685;5.2231365589;2.014689508;17.8607167414;7.3005490615;23.8535482418;12.3269100819
460;6.5569101973;2.6651540282;16.3065387492;3.4808241959;11.737542518;7.3242449952;14.9523368029;4.422445638;13.3801561026;2.6381535401;9.4359211031;1.9261977688;5.0491240643;5.9129778089;2.7423955598;2.9800215246;3.1239369162;36.3076652918;35.9974403518;6.7169648833;12.3640268916;7.565234027;4.9249690852;34.6559606471;44.0715997493;19.1207121387;19.4693132511;8.844990591;38.4805129669;1.3026867449;16.3772227414;6.5090955075;21.4511526752;13.8567182101;20.4206034883;43.6109203424;18.4080299595;11.8549288982;16.0347770218;12.305281678;20.5249548864;39.3182806491;5.4663871732;2.5540601928;8.3619856034;3.6350777354;6.2663871572;3.0293274667;14.623543849;4.1267138273;1.5570220417;6.8478291946;2.2538136684;15.9320240429;3.5518679203;38.1863133654;5.770934986;2.2002179588;18.8926609854;7.8526134604;24.747153998;12.8293773825
470;7.0681203465;2.7276844276;17.2865286663;3.8307409721;12.7570949711;8.1778807373;15.9217067252;4.8558780264;14.5473529866;2.7767023334;9.9754404608;2.0767354525;5.6294622007;6.3002464044;2.9198982606;2.9376729026;3.1470666357;38.3750231054;37.609158884;6.8953788898;13.4846446527;8.125153919;5.0926820916;36.8413981438;45.680264081;21.0224568268;20.3408423229;9.5361930392;40.5749352672;1.3485017773;17.4562259858;7.4256153463;23.0783634367;14.1916497047;21.4814646611;44.3170866425;19.6712135894;13.4071635341;17.3921256947;12.7564795536;22.0484697158;40.7382213541;5.8707124037;2.7287096892;8.9261074686;4.0497303469;6.667807614;3.2785132596;15.8172582235;4.5119079495;1.6403081302;7.2585702351;2.3777391238;17.017705726;3.8617731765;38.8519473111;6.1282620947;2.3175096014;19.6177857709;8.4659511076;25.3618413225;13.39124994
480;7.5095739075;2.8831011347;18.301064944;4.2219911721;13.8411952418;9.0995168205;17.110565872;5.3401061517;15.7329214658;2.9394838387;10.5599335788;2.210224902;6.2362808994;6.6579809912;3.0475211076;2.9756200127;3.1756816413;40.219970668;39.3240309299;7.1209874367;14.7205373923;8.714997537;5.4210867858;39.3896579442;47.3794668516;23.0631362021;21.3884512648;10.3928314124;42.7418386089;1.3196972965;18.6398317361;8.5281888933;24.8623150206;14.690764705;22.6215694392;45.5854035237;21.221278311;15.1699265432;18.8236739736;13.4680540084;23.6035983586;42.1010198421;6.2850923232;2.8899498304;9.4380756732;4.4790247606;7.1247279967;3.4755753769;17.1627080118;5.0234994151;1.6771568253;7.7442850353;2.4339654576;18.0497346444;4.2731135362;39.7533538711;6.5486935145;2.4128430929;20.4893887501;9.0905706099;26.2839649806;13.87154803
490;8.0137804482;3.0154235933;19.3078689938;4.693550991;15.0432526843;9.9377389726;18.3068368089;5.7749690682;16.9320024387;3.045059283;11.3386594052;2.4009304759;6.8233830573;7.0636742088;3.1790694125;3.0307409881;3.2423223964;42.0081781603;40.9421698496;7.4373531288;15.8731579301;9.3619340141;5.6513632966;42.1144922873;49.1836549021;25.4311187366;22.4548855178;11.2358232096;44.8756407589;1.3138707424;19.8851536838;9.7498033864;26.6035220252;15.667946952;23.7215317348;47.5195323049;22.8677010316;16.9530677483;20.3844195685;14.3129114309;25.0348854662;43.460122396;6.6731180657;3.0678738961;9.9601184886;5.0398150014;7.6584184343;3.7182105737;18.4148009243;5.557992534;1.7674263956;8.2660012234;2.5393891091;18.91355765;4.8653835079;40.81763904;7.0846047323;2.4918293506;21.4596067335;9.5970950343;27.3019737037;14.3658663153
