nm;Lederhandschuh AGKI 712 Armschutz, (M, id=5139);Lederhandschuh AGKI 712 Handrücken, (M, id=5140);Lederhandschuh AGKI 712 Zeigefinger, (M, id=5141);Lederhandschuh AGKI 808 Armschutz, (M, id=5142);Lederhandschuh AGKI 808 Handrücken, (M, id=5143);Lederhandschuh AGKI 808 Zeigefinger, (M, id=5144);Lederhandschuh Artelli Goliath Armschutz, (M, id=5145);Lederhandschuh Artelli Goliath Mittelfinger Stoff, (M, id=5146);Lederhandschuh Artelli Goliath Mittelfinger, (M, id=5147);Lederhandschuh Artelli Goliath Zeigefinger, (M, id=5148);Lederhandschuh kevlarverstärkt Tegera Ejendals Kevlar Handrücken, (M, id=5164);Lederhandschuh kevlarverstärkt Tegera Ejendals Kevlar Zeigefinger, (M, id=5165);Lederhandschuh Texxor 1141 Armschutz, (M, id=5166);Lederhandschuh Texxor 1141 Handrücken, (M, id=5167);Lederhandschuh Texxor 1141 Zeigefinger, (M, id=5168);Lederhandschuh Texxor 1141 Finger verschmutzt von Waldarbeiten, (M, id=5175);Lederhandschuh H1S1 stark verschmutzt Fiesler, (M, id=5177);Lederhandschuh H1S2 stark verschmutzt Fiesler, (M, id=5178);Lederhandschuh H1S3 stark verschmutzt Fiesler, (M, id=5179);Lederhandschuh H2S1 stark verschmutzt Fiesler, (M, id=5180);Lederhandschuh H2S2 stark verschmutzt Fiesler, (M, id=5181);Lederhandschuh H2S3 stark verschmutzt Fiesler, (M, id=5182);Lederhandschuh H2S4 stark verschmutzt Fiesler, (M, id=5183);Lederhandschuh H3S1 stark verschmutzt Fiesler, (M, id=5184);Lederhandschuh H3S2 stark verschmutzt Fiesler, (M, id=5185);Lederhandschuh H3S3 stark verschmutzt Fiesler, (M, id=5186);Lederhandschuh H3S4 stark verschmutzt Fiesler, (M, id=5187);Lederhandschuh H3S5 stark verschmutzt Fiesler, (M, id=5188);Lederhandschuh Schmersal, (M, id=6509)
400;26.1984992233;30.0625957694;22.7945866574;36.312458887;31.6771853019;25.3394079218;9.4949644164;4.6016173405;44.2156554129;45.2735355386;6.7533883901;54.1692930804;33.4264960965;34.3636798522;47.4957414791;16.7406597086;2.3620687352;5.3736254338;6.2954081834;2.6393956911;3.9740375173;1.9873170128;3.94900449;4.2689962372;6.68826138;4.3774718777;8.5489043795;4.711500313;45.3598657107
410;29.9959331212;33.3494040421;22.9573521148;39.725563885;34.910775667;31.5122584824;9.2963801532;4.614965817;44.8745807299;46.3510819388;6.7094367715;56.8617820253;37.7299251835;38.675288848;47.6943573897;17.4565571905;2.479347245;5.8955098724;6.652193028;2.77464305;3.8195560661;1.9931834608;4.0231788428;4.8793876048;7.1794115089;4.7439284829;9.2896060685;5.0552602389;52.8577731722
420;33.7222892812;36.5321297349;22.8823034889;42.3798819726;37.741696825;33.8263657758;8.9395938006;4.4776757868;46.0329323807;47.5536223787;6.2861098874;58.3199532993;41.8413970313;42.2796970768;48.0500229891;18.382326671;2.5280933672;6.113175132;6.8971998893;3.0509364979;3.6777259146;1.9109002957;4.0905174782;5.366948812;7.5415135941;4.8205699413;9.7778490578;5.367774535;55.5360101868
430;35.9303612251;38.5859572941;24.0066417337;43.2887966722;39.4862462209;35.0776899701;9.0291539697;4.7031157391;47.4027553073;48.8815943217;6.1282266237;59.6052514505;43.7247124694;44.2118693186;48.7274563499;19.3642246278;2.7200376281;6.3544129057;6.9407478533;3.3967400035;3.9948434726;2.1578099157;4.333868316;5.7472445381;7.8605298321;5.1335186311;10.5043427892;5.7906538927;56.7483466651
440;37.4724025626;39.9074494285;25.6669121811;43.6724278462;40.9211877568;37.0937144106;9.3284399851;4.7787667034;49.2849489798;50.7390046172;5.9181103061;61.3712913948;44.7599921614;45.4281857893;49.9681002703;20.5630060435;2.8176674191;6.5017630603;7.2418177347;3.6313187112;4.1310035948;2.2375326447;4.4049175263;5.9694806582;8.4862353201;5.137236853;11.0108163479;6.0090146667;58.2551598598
450;38.6243175227;40.7150254246;27.9601150086;44.0838837738;42.3216306778;38.8102479657;9.6775518686;4.9819148835;51.6260072996;53.263931336;5.8775157196;63.669903989;45.5738960188;46.3660289889;51.6686494438;21.890253036;2.9829778675;6.8712215428;7.6077651809;3.9484400927;4.1714064946;2.3796917894;4.3384470283;6.4705320714;9.0085978192;5.3109704662;11.8138326955;6.4292703435;60.0259239148
460;39.64282625;41.6080750298;30.8242984605;45.0141163988;43.6583846093;39.8611592504;10.4572914358;5.5346493892;54.2445752615;55.9295374681;6.7520357473;66.046187177;46.1933467989;47.3734460904;53.7041584849;23.4064769746;3.1156015457;7.1376658752;7.6617445729;4.1936126336;4.075288786;2.5507671593;4.3291926547;6.8942495813;9.4917992255;5.507822278;12.1890407047;6.7950637854;62.0738887454
470;40.7838152638;42.4878685302;34.3544494287;46.151064387;45.1083961012;40.7739454726;11.4181787721;6.1430348595;56.8959055131;58.4212012936;7.6513640106;68.0040842915;46.8021790417;48.1345060537;55.60813472;24.8289888826;3.1293274647;7.2575049251;7.7485817462;4.5268370845;3.9344815301;2.6070951741;4.3702579638;7.1117615906;9.8597918633;5.5590077323;12.5198764844;7.071278594;63.927043836
480;42.1544006689;43.4030957469;39.0851772499;47.1702501644;46.5841310082;42.1753119742;12.5809587999;6.8292096114;59.5607144499;61.119042846;7.8637835712;70.1681953579;47.8809180455;49.2515242808;57.861083371;26.110326105;3.1990077795;7.4597919113;7.9339538268;4.9315482088;3.8529001192;2.6916715188;4.3969272473;7.4281558103;10.192485571;5.6646278024;12.9063608628;7.3608641667;65.7421439459
490;43.4054397922;44.4401624248;44.2346440377;47.9804750945;47.905726281;43.9072199793;13.844095438;7.6631580943;61.8137046068;63.4029373647;7.7197703219;71.8934132489;48.9125656474;50.4424663017;59.6006766121;27.4991497769;3.3018895095;7.6335224046;8.1762592764;5.4017777231;3.8425403872;2.8454567017;4.4994276608;7.8812500502;10.6437026647;5.9191070401;13.4125972509;7.7093158523;67.1714429171
