nm;Rohrspreize PVC hell, (M, id=5921);Schwamm Trocken, (M, id=5890);Styrodur, (M, id=5923);Styrodur verschmutzt, (M, id=5924);Gummihandschuh Tegera 7380 Armschutz Wolle Stoff, (M, id=5161);Rohrspreize PVC grau, (M, id=5922);Gummihandschuh Texxor 2162 Armschutz Stoff, (M, id=5169);Silikon unverarbeitet, (M, id=6008);Silikonschlauch unvulkanisiert, (M, id=6009);Lederhandschuh Artelli Goliath Mittelfinger Stoff, (M, id=5146)
400;25.0962877561;6.5587926749;24.2569613621;9.8717831196;1.6758658151;17.7325877007;3.1485099877;0.7481550354;0.9935069881;4.6016173405
410;27.9121628578;7.3877035527;24.9236105565;10.4003642562;1.7189337472;19.2959253289;2.6535215957;0.7396362245;0.9890498786;4.614965817
420;28.4072462964;7.9447548454;26.6304208323;11.6043612314;1.8260119645;19.4778735679;2.1201577853;0.7352533819;1.2740885915;4.4776757868
430;28.1371701829;8.985274801;28.771376721;12.7948449086;1.8839199343;19.610607328;1.7476158712;0.6849761134;1.0802534522;4.7031157391
440;28.2531245775;9.9000513713;31.3934934018;14.5911712766;1.9378623978;19.9787755542;1.4433045256;0.8112948174;1.0591711359;4.7787667034
450;28.6622340937;10.8864602183;34.077454277;16.3755065429;1.9848127738;20.173986687;1.3192042357;0.7903743572;1.1754166867;4.9819148835
460;29.4231245541;11.7572729455;36.898593438;18.0982549119;2.0518610069;20.3424237354;1.3615266961;0.6838606917;1.1722608052;5.5346493892
470;30.4075090396;12.5842988253;39.2466229647;19.7406504937;1.990151753;20.6296067501;1.608614974;0.767739156;1.1942451178;6.1430348595
480;31.3183378643;13.7740268634;41.4085602428;21.3174622296;1.9480873439;20.8878620188;1.8718209621;0.7919180872;1.1538592248;6.8292096114
490;32.0079874276;15.0743249371;43.0736195533;22.6283565023;1.9236858324;21.0428381428;1.932360105;0.8076614244;1.1630850708;7.6631580943
500;32.7973842691;16.4867967969;44.2434015271;23.9203969363;2.0045808838;21.2462189666;1.7047657876;0.7858835937;1.1913403442;8.6011097638
510;33.4231244741;17.8311481702;45.0020827281;25.0504184979;1.965754819;21.3699595242;1.2579218326;0.77182335;1.1872801003;9.3481510399
520;34.1999515702;18.9894835177;45.2556338079;25.9487092248;1.9409304851;21.3666118015;1.3366308208;0.8072801079;1.1838306966;9.5658971504
530;35.2736288642;20.0335036923;45.1730271355;26.8070045299;1.8617948006;21.2955795979;2.5726983948;0.822921764;1.1565059472;9.2967113579
540;35.6070427904;20.8888611188;44.9550915498;27.6259938928;1.8183854461;21.1071494933;4.802504897;0.7814420334;1.1303481888;8.681159874
550;34.9974396178;21.7120570323;44.6936379852;28.3055794577;1.8563541404;20.8023220452;6.7601046658;0.7970551619;1.1433476999;7.9019625709
560;34.9615916346;22.436270512;44.3275318029;28.9054230755;1.8706508511;20.5669099171;8.8370369498;0.7746163793;1.1191095021;7.1011953766
570;36.7371601021;23.1795781715;43.9098619698;29.4941874967;1.9000946996;20.4176154978;16.0215006222;0.7974194716;1.2159327884;6.4099952944
580;40.1702503044;23.8427364058;43.1005960913;29.8518650283;1.8628054214;20.2141946257;36.8330997417;0.7789793003;1.2246825804;5.8890578374
590;43.4286147371;24.4424668217;41.7911923168;29.8605131393;1.9300431298;19.9615409648;74.8858614175;0.7883730374;1.1767254071;5.4324902436
600;45.1204934614;24.9707621335;40.2157494765;29.5709884452;1.8682120682;19.6165571473;106.144448563;0.7648905291;1.2127745409;5.0243081313
